"","lng","lat"
"375",-0.190968,51.502006
"376",-0.214478,51.505064
"377",-0.178923,51.482486
"378",-0.190244,51.502085
"379",-0.168681,51.493657
"380",-0.183978,51.492995
"381",-0.174191,51.481962
"382",-0.150127,51.485812
"383",-0.183978,51.492995
"384",-0.207406,51.516376
"385",-0.199144,51.49197
"386",-0.15588,51.489589
"387",-0.182891,51.494957
"388",-0.193793,51.492517
"389",-0.217693,51.515004
"390",-0.194133,51.509428
"391",-0.198724,51.498978
"392",-0.215244,51.526028
"393",-0.175681,51.484324
"394",-0.159007,51.494225
"395",-0.194761,51.493521
"396",-0.163836,51.499516
"397",-0.174707,51.49429
"398",-0.184316,51.480861
"399",-0.172223,51.491554
"400",-0.184331,51.484098
"401",-0.180503,51.486197
"402",-0.167954,51.497422
"403",-0.195582,51.494613
"404",-0.177012,51.483445
"405",-0.213498,51.508016
"406",-0.17975,51.497876
"407",-0.215683,51.503733
"408",-0.173256,51.49094
"409",-0.197756,51.512542
"410",-0.17552,51.495562
"411",-0.186209,51.502112
"412",-0.173173,51.485813
"413",-0.170693,51.490181
"414",-0.206131,51.515817
"415",-0.185208,51.501917
"416",-0.199742,51.498724
"417",-0.218027,51.517527
"418",-0.206549,51.512497
"419",-0.174205,51.4852
"420",-0.169272,51.493306
"421",-0.219826,51.52313
"422",-0.171766,51.495773
"423",-0.193954,51.499354
"424",-0.192264,51.494742
"425",-0.215244,51.507593
"426",-0.220215,51.516841
"427",-0.187872,51.492876
"428",-0.189014,51.485879
"429",-0.218343,51.5205
"430",-0.161456,51.501367
"431",-0.17142,51.486415
"432",-0.192945,51.488458
"433",-0.18578,51.480254
"434",-0.206549,51.512497
"435",-0.215782,51.527025
"436",-0.174788,51.485029
"437",-0.188668,51.494597
"438",-0.15588,51.489589
"439",-0.209392,51.506155
"440",-0.175821,51.484416
"441",-0.170834,51.486676
"442",-0.1706,51.496115
"443",-0.217924,51.51276
"444",-0.176365,51.48883
"445",-0.214001,51.502539
"446",-0.182492,51.494141
"447",-0.178543,51.492012
"448",-0.200124,51.492705
"449",-0.150825,51.486362
"450",-0.21198,51.524719
"451",-0.157654,51.492045
"452",-0.159031,51.497192
"453",-0.182048,51.490807
"454",-0.159902,51.497026
"455",-0.196692,51.495709
"456",-0.183978,51.492995
"457",-0.202254,51.508114
"458",-0.201677,51.511792
"459",-0.188809,51.494689
"460",-0.21061,51.511839
"461",-0.221027,51.514515
"462",-0.20199,51.522139
"463",-0.203817,51.508678
"464",-0.19212,51.49474
"465",-0.164978,51.489013
"466",-0.168401,51.497069
"467",-0.175624,51.489359
"468",-0.216772,51.523803
"469",-0.171273,51.486503
"470",-0.215261,51.503457
"471",-0.206189,51.507006
"472",-0.170834,51.486676
"473",-0.150275,51.485724
"474",-0.16022,51.492715
"475",-0.216389,51.522538
"476",-0.187321,51.492238
"477",-0.15588,51.489589
"478",-0.196218,51.511349
"479",-0.174851,51.494292
"480",-0.205951,51.516714
"481",-0.182492,51.494141
"482",-0.192678,51.509766
"483",-0.162008,51.494811
"484",-0.173785,51.495715
"485",-0.150271,51.485814
"486",-0.209104,51.506151
"487",-0.182859,51.481288
"488",-0.15588,51.489589
"489",-0.188422,51.489917
"490",-0.150127,51.485812
"491",-0.186925,51.502213
"492",-0.200944,51.508454
"493",-0.163678,51.496276
"494",-0.205187,51.510497
"495",-0.159035,51.497103
"496",-0.200656,51.50845
"497",-0.202644,51.494542
"498",-0.187836,51.493774
"499",-0.188655,51.487672
"500",-0.186209,51.502112
"501",-0.209693,51.516861
"502",-0.188168,51.485416
"503",-0.150127,51.485812
"504",-0.165417,51.48884
"505",-0.191112,51.502008
"506",-0.192506,51.488631
"507",-0.221297,51.514969
"508",-0.190314,51.489406
"509",-0.160905,51.486431
"510",-0.20954,51.506068
"511",-0.21771,51.514555
"512",-0.186404,51.482691
"513",-0.22284,51.519759
"514",-0.18033,51.501392
"515",-0.215637,51.508589
"516",-0.189847,51.490298
"517",-0.209008,51.515951
"518",-0.197558,51.49932
"519",-0.195446,51.494431
"520",-0.198053,51.508679
"521",-0.196163,51.5091
"522",-0.179189,51.483029
"523",-0.150998,51.485646
"524",-0.156783,51.492211
"525",-0.204361,51.513182
"526",-0.192264,51.494742
"527",-0.203734,51.518119
"528",-0.184351,51.490843
"529",-0.209008,51.515951
"530",-0.214141,51.502631
"531",-0.182621,51.494503
"532",-0.180618,51.501396
"533",-0.200552,51.492801
"534",-0.194133,51.509428
"535",-0.171283,51.482636
"536",-0.18578,51.480254
"537",-0.199932,51.508528
"538",-0.197308,51.509297
"539",-0.198569,51.510216
"540",-0.173464,51.482131
"541",-0.18242,51.481461
"542",-0.224619,51.522213
"543",-0.210104,51.517407
"544",-0.194484,51.500531
"545",-0.196396,51.514139
"546",-0.221301,51.514879
"547",-0.158416,51.494575
"548",-0.186353,51.502114
"549",-0.17858,51.480232
"550",-0.186925,51.502213
"551",-0.215202,51.504985
"552",-0.188074,51.502321
"553",-0.214735,51.505877
"554",-0.183923,51.501627
"555",-0.185202,51.494813
"556",-0.206461,51.496399
"557",-0.211056,51.51886
"558",-0.163393,51.499779
"559",-0.212884,51.501622
"560",-0.175095,51.495375
"561",-0.192506,51.488631
"562",-0.215205,51.504895
"563",-0.188312,51.485419
"564",-0.179172,51.487076
"565",-0.177691,51.495326
